Symbols,Stops,Reels (Columns),Rows,Pay Table
A,10,5,4,01.txt
B,9,,,02.txt
C,8,,,03.txt
D,7,,,04.txt
E,6,,,05.txt
F,5,,,06.txt
G,4,,,07.txt
H,3,,,08.txt
I,2,,,09.txt
J,1,,,10.txt
K,-1,,,11.txt
L,,,,12.txt
M,,,,13.txt
N,,,,14.txt
O,,,,15.txt
P,,,,16.txt
Q,,,,17.txt
R,,,,18.txt
S,,,,19.txt
T,,,,20.txt
U,,,,21.txt
V,,,,22.txt
W,,,,23.txt
X,,,,24.txt
Y,,,,25.txt
Z,,,,26.txt
,,,,27.txt
,,,,28.txt
,,,,29.txt
,,,,30.txt
,,,,31.txt
,,,,32.txt
,,,,33.txt
,,,,34.txt
,,,,35.txt
,,,,36.txt
,,,,37.txt
,,,,38.txt
,,,,39.txt
,,,,40.txt
,,,,41.txt
,,,,42.txt
,,,,43.txt
,,,,44.txt
,,,,45.txt
,,,,46.txt
,,,,47.txt
,,,,48.txt
,,,,49.txt
,,,,50.txt
